nodeId,x,y,z,phi_x,phi_y,phi_z
1,1.00236,-0.0881502,0.1,0,0,0
2,1.004,-0.0890014,0.1,0,0,0
3,1.004,-0.0890014,0.15,-9.85523376953e-05,0.0101098527084,0.000971046062643
4,1.00236,-0.0881502,0.15,0.00462401083471,0.0191146038974,0.000686791399298
5,0.952897,-0.084872,0.1,2.7693481873e-24,0,0
6,0.94756,-0.0844413,0.1,0,0,0
7,0.94756,-0.0844413,0.15,0.0374639009031,0.490967769951,-0.000369163982038
8,0.952897,-0.084872,0.15,0.0337603298741,0.442707161016,-0.000158846507945
9,0.958249,-0.0852761,0.1,0,0,0
10,0.958249,-0.0852761,0.15,0.0302262376669,0.393490611593,-0.000474374141296
11,0.140065,-0.0412148,0.1,0,0,0
12,0.134709,-0.0407917,0.1,-1.10773906568e-23,0,0
13,0.134709,-0.0407917,0.15,0.00948495827258,0.152306627907,0.00101833556075
14,0.140065,-0.0412148,0.15,0.0113509379915,0.181770352117,0.00116677469429
15,0.0440394,0.0389468,0.1,0,0,0
16,0.0482783,0.0406844,0.1,0,0,0
17,0.0482783,0.0406844,0.15,-4.91327882369e-05,7.83217410226e-05,-5.81052579946e-06
18,0.0440394,0.0389468,0.15,-7.24263596806e-05,0.000132172033313,-7.67739899894e-06
19,0.559146,0.0381017,0.1,0,0,0
20,0.563662,0.0372154,0.1,1.73084235551e-25,0,0
21,0.563662,0.0372154,0.15,-4.54190373885e-05,-0.000296182524027,7.21348171873e-07
22,0.559146,0.0381017,0.15,-4.94379840336e-05,-0.000313554652536,7.64908905733e-07
23,0.129366,-0.0403371,0.1,-5.53869637461e-24,0,0
24,0.129366,-0.0403371,0.15,0.00760829340513,0.12524818681,0.000813255933279
25,0.735779,-0.0028717,0.1,0,0,0
26,0.743356,-0.00488488,0.1,-3.46168471101e-25,0,0
27,0.743356,-0.00488488,0.15,0.00306795064167,0.0107762437707,-4.07457993328e-05
28,0.735779,-0.0028717,0.15,0.00268479500535,0.00948967363186,-2.98363704642e-05
29,0.903463,-0.0531327,0.1,-1.10773906568e-23,0,0
30,0.907856,-0.0545707,0.1,-2.21547813135e-23,0,0
31,0.907856,-0.0545707,0.15,0.0262484497159,0.0785226276735,-0.000340935751011
32,0.903463,-0.0531327,0.15,0.0253132768972,0.0759591650247,-0.000240859443094
33,0.995066,-0.0882592,0.1,2.21547813135e-23,0,0
34,0.990347,-0.0878927,0.1,1.10773906568e-23,0,0
35,0.990347,-0.0878927,0.15,0.00757582365246,0.10670344355,0.000375613363169
36,0.995066,-0.0882592,0.15,0.00485324927643,0.0708381090784,0.000474057970545
37,0.055694,0.0434126,0.1,-1.73084235551e-25,0,0
38,0.055694,0.0434126,0.15,-1.75073746802e-05,-3.03028112515e-06,-2.81914141878e-06
39,0.00654038,0.0161572,0.1,0,0,0
40,0.0121963,0.0214907,0.1,0,0,0
41,0.0121963,0.0214907,0.15,-0.000208570792859,0.000402393193177,-1.20803278022e-05
42,0.00654038,0.0161572,0.15,-0.000114307758142,0.000304298654408,1.0587441078e-05
43,0.694562,-0.0672861,0.1,0,0,0
44,0.68919,-0.0669854,0.1,2.7693481873e-24,0,0
45,0.68919,-0.0669854,0.15,-0.00808694788322,-0.169478821834,0.000169581666258
46,0.694562,-0.0672861,0.15,-0.00492578441266,-0.112394726314,0.000166613197456
47,0.678496,-0.0663887,0.1,0,0,0
48,0.673414,-0.0661052,0.1,-5.53869637461e-24,0,0
49,0.673414,-0.0661052,0.15,-0.0169449841259,-0.331787514589,0.000309966292371
50,0.678496,-0.0663887,0.15,-0.0141727044017,-0.280655527009,0.000235566041655
51,0.699925,-0.0676033,0.1,0,0,0
52,0.699925,-0.0676033,0.15,-0.00154099971005,-0.0549024650264,0.000109065203488
53,0.716014,-0.0685542,0.1,0,0,0
54,0.710651,-0.0682377,0.1,-2.7693481873e-24,0,0
55,0.710651,-0.0682377,0.15,0.00532372328097,0.0606570656395,3.55798810377e-05
56,0.716014,-0.0685542,0.15,0.00876911714234,0.118260520268,6.85069722965e-06
57,0.763795,-0.0713974,0.1,-2.7693481873e-24,0,0
58,0.758859,-0.0710778,0.1,-5.53869637461e-24,0,0
59,0.758859,-0.0710778,0.15,0.0351742576089,0.545411075952,-0.000674933112921
60,0.763795,-0.0713974,0.15,0.0381530840891,0.587832779049,-0.000472478267643
61,0.79514,-0.0193544,0.1,-1.38467409365e-24,0,0
62,0.802701,-0.0215789,0.1,-1.73084235551e-25,0,0
63,0.802701,-0.0215789,0.15,0.00783957931925,0.0259186779729,-8.79809248632e-05
64,0.79514,-0.0193544,0.15,0.00700875749564,0.0233823022227,-9.97252244661e-05
65,0.937145,-0.0836625,0.1,2.21547813135e-23,0,0
66,0.932668,-0.0833009,0.1,1.10773906568e-23,0,0
67,0.932668,-0.0833009,0.15,0.0465867453201,0.6176171728,5.24310915554e-05
68,0.937145,-0.0836625,0.15,0.0438235364113,0.581297083932,0.000373656808167
