nodeId,x,y,z,phi_x,phi_y,phi_z
1,1.00236,-0.0881502,0.1,0,0,0
2,1.004,-0.0890014,0.1,0,0,0
3,1.004,-0.0890014,0.15,0.000886734212334,0.0216939768524,0.00167194359627
4,1.00236,-0.0881502,0.15,0.00834596937723,0.0359047280538,0.00115659890231
5,0.952897,-0.084872,0.1,2.84625783199e-24,0,0
6,0.94756,-0.0844413,0.1,2.84625783199e-24,0,0
7,0.94756,-0.0844413,0.15,0.0513653161883,0.666200731168,-0.000488694703393
8,0.952897,-0.084872,0.15,0.0469593004019,0.608835094457,-0.000204268170651
9,0.958249,-0.0852761,0.1,0,0,0
10,0.958249,-0.0852761,0.15,0.0426109736982,0.548365215196,-0.000640950655171
11,0.140065,-0.0412148,0.1,-2.27700583547e-23,0,0
12,0.134709,-0.0407917,0.1,2.27700583547e-23,0,0
13,0.134709,-0.0407917,0.15,-0.0151733470413,-0.234245740627,-0.00154840616234
14,0.140065,-0.0412148,0.15,-0.0177231829899,-0.275063051604,-0.00175468576259
15,0.0440394,0.0389468,0.1,0,0,0
16,0.0482783,0.0406844,0.1,7.11564457996e-25,0,0
17,0.0482783,0.0406844,0.15,8.98350094618e-05,-0.000162547727139,9.95863891957e-06
18,0.0440394,0.0389468,0.15,0.000126397156495,-0.000247033576895,1.27228890054e-05
19,0.559146,0.0381017,0.1,1.42312891599e-24,0,0
20,0.563662,0.0372154,0.1,0,0,0
21,0.563662,0.0372154,0.15,0.00443143554251,0.0207122839369,-6.48830564503e-05
22,0.559146,0.0381017,0.15,0.00407342774075,0.0191344310731,-5.70183086478e-05
23,0.129366,-0.0403371,0.1,1.13850291774e-23,0,0
24,0.129366,-0.0403371,0.15,-0.0125532841777,-0.196093417955,-0.00125213481897
25,0.735779,-0.0028717,0.1,-1.77891087617e-25,0,0
26,0.743356,-0.00488488,0.1,1.13850291774e-23,0,0
27,0.743356,-0.00488488,0.15,0.0367309776554,0.133896844772,-0.000492257555332
28,0.735779,-0.0028717,0.15,0.0346614718696,0.127575992308,-0.000382300765878
29,0.903463,-0.0531327,0.1,-2.27700583547e-23,0,0
30,0.907856,-0.0545707,0.1,-4.55401274623e-23,0,0
31,0.907856,-0.0545707,0.15,0.0799175518374,0.240659605312,-0.00104083664487
32,0.903463,-0.0531327,0.15,0.0795441158351,0.240543797033,-0.000748084281781
33,0.995066,-0.0882592,0.1,0,0,0
34,0.990347,-0.0878927,0.1,2.27700583547e-23,0,0
35,0.990347,-0.0878927,0.15,0.0122198595596,0.164255173447,0.000649068525249
36,0.995066,-0.0882592,0.15,0.00827262950987,0.112294890877,0.000824166235438
37,0.055694,0.0434126,0.1,0,0,0
38,0.055694,0.0434126,0.15,3.91400049297e-05,-3.21937124854e-05,5.26343039615e-06
39,0.00654038,0.0161572,0.1,0,0,0
40,0.0121963,0.0214907,0.1,0,0,0
41,0.0121963,0.0214907,0.15,0.000297182217964,-0.000602487252319,1.40095974884e-05
42,0.00654038,0.0161572,0.15,0.000130105279545,-0.000429294948551,-2.34044769713e-05
43,0.694562,-0.0672861,0.1,-1.13850291774e-23,0,0
44,0.68919,-0.0669854,0.1,-1.13850291774e-23,0,0
45,0.68919,-0.0669854,0.15,-0.0541334566582,-0.972154162856,0.000879211943056
46,0.694562,-0.0672861,0.15,-0.0532705828225,-0.951187917921,0.00104212182645
47,0.678496,-0.0663887,0.1,0,0,0
48,0.673414,-0.0661052,0.1,0,0,0
49,0.673414,-0.0661052,0.15,-0.0546671102433,-0.998504148688,0.000985956638795
50,0.678496,-0.0663887,0.15,-0.0548331558751,-0.995944968506,0.00084197178532
51,0.699925,-0.0676033,0.1,0,0,0
52,0.699925,-0.0676033,0.15,-0.0519796269606,-0.924412656558,0.000690448318222
53,0.716014,-0.0685542,0.1,0,0,0
54,0.710651,-0.0682377,0.1,1.42312891599e-24,0,0
55,0.710651,-0.0682377,0.15,-0.0483025151532,-0.853923586885,0.000246988845006
56,0.716014,-0.0685542,0.15,-0.0459520694488,-0.810604408459,0.000116699369005
57,0.763795,-0.0713974,0.1,5.69251566397e-24,0,0
58,0.758859,-0.0710778,0.1,5.69251566397e-24,0,0
59,0.758859,-0.0710778,0.15,-0.0179469607158,-0.315499926467,0.000479361007671
60,0.763795,-0.0713974,0.15,-0.0136458283054,-0.247690576513,0.000311523197027
61,0.79514,-0.0193544,0.1,0,0,0
62,0.802701,-0.0215789,0.1,-1.13850291774e-23,0,0
63,0.802701,-0.0215789,0.15,0.0543915575065,0.183845590212,-0.000618095778273
64,0.79514,-0.0193544,0.15,0.0519762720689,0.177436994427,-0.000740091897555
65,0.937145,-0.0836625,0.1,2.27700583547e-23,0,0
66,0.932668,-0.0833009,0.1,0,0,0
67,0.932668,-0.0833009,0.15,0.0613301831632,0.804839478749,0.000106922988876
68,0.937145,-0.0836625,0.15,0.0584843748007,0.767323510207,0.000513753378519
69,1.00277,-0.0889025,0.1,4.55401274623e-23,0,0
