nodeId,x,y,z,phi_x,phi_y,phi_z
1,1.00236,-0.0881502,0.1,0,0,0
2,1.004,-0.0890014,0.1,0,0,0
3,1.004,-0.0890014,0.15,0.00142596716716,0.0216184510221,0.00172563625146
4,1.00236,-0.0881502,0.15,0.00386392527314,0.0262156171417,0.00129205384268
5,0.952897,-0.084872,0.1,1.35487469827e-25,0,0
6,0.94756,-0.0844413,0.1,0,0,0
7,0.94756,-0.0844413,0.15,0.000308065263182,0.00358878930251,2.96125803611e-05
8,0.952897,-0.084872,0.15,0.000976174034251,0.0121587064623,4.35169575774e-05
9,0.958249,-0.0852761,0.1,-5.41949961205e-25,0,0
10,0.958249,-0.0852761,0.15,0.00155176284501,0.0200888167901,4.97155080321e-05
11,0.140065,-0.0412148,0.1,0,0,0
12,0.134709,-0.0407917,0.1,0,0,0
13,0.134709,-0.0407917,0.15,0.00226972741395,0.0346024843181,0.000227919472581
14,0.140065,-0.0412148,0.15,0.00263083247284,0.0404139314601,0.0002573356226
15,0.0440394,0.0389468,0.1,0,0,0
16,0.0482783,0.0406844,0.1,0,0,0
17,0.0482783,0.0406844,0.15,-9.30174855608e-06,1.28988192996e-05,-1.08145529214e-06
18,0.0440394,0.0389468,0.15,-1.61698083052e-05,2.90874475725e-05,-1.58270686848e-06
19,0.559146,0.0381017,0.1,1.73423954827e-23,0,0
20,0.563662,0.0372154,0.1,8.67119774134e-24,0,0
21,0.563662,0.0372154,0.15,0.068534763216,0.330296493335,-0.00100105521085
22,0.559146,0.0381017,0.15,0.0643879987252,0.312433821565,-0.000903331423017
23,0.129366,-0.0403371,0.1,-2.16779984482e-24,0,0
24,0.129366,-0.0403371,0.15,0.0018957505782,0.0291358487948,0.000185077920894
25,0.735779,-0.0028717,0.1,-1.73423954827e-23,0,0
26,0.743356,-0.00488488,0.1,1.3873919662e-22,0,0
27,0.743356,-0.00488488,0.15,0.256125428246,0.947416664997,-0.00345503977235
28,0.735779,-0.0028717,0.15,0.251038386066,0.938015689841,-0.00276666956165
29,0.903463,-0.0531327,0.1,0,0,0
30,0.907856,-0.0545707,0.1,0,0,0
31,0.907856,-0.0545707,0.15,0.177282539586,0.541044997571,-0.0023468827297
32,0.903463,-0.0531327,0.15,0.184242651744,0.565151590823,-0.00173461381829
33,0.995066,-0.0882592,0.1,3.46847991551e-23,0,0
34,0.990347,-0.0878927,0.1,0,0,0
35,0.990347,-0.0878927,0.15,0.00300990085512,0.0398743192533,0.000667797398061
36,0.995066,-0.0882592,0.15,0.002664093367,0.0357888711673,0.000902243009742
37,0.055694,0.0434126,0.1,-4.23398414869e-27,0,0
38,0.055694,0.0434126,0.15,7.59005365841e-07,-1.3610595719e-05,-2.68210091485e-07
39,0.00654038,0.0161572,0.1,0,0,0
40,0.0121963,0.0214907,0.1,5.41949961205e-25,0,0
41,0.0121963,0.0214907,0.15,-4.44911161225e-05,8.95860763954e-05,-1.99738413653e-06
42,0.00654038,0.0161572,0.15,-1.83315575877e-05,6.24742995651e-05,3.63608737014e-06
43,0.694562,-0.0672861,0.1,1.08389992241e-24,0,0
44,0.68919,-0.0669854,0.1,-1.08389992241e-24,0,0
45,0.68919,-0.0669854,0.15,0.00498006647005,0.0918070455154,-8.44584951203e-05
46,0.694562,-0.0672861,0.15,0.00455364924392,0.0837138042317,-9.64038512875e-05
47,0.678496,-0.0663887,0.1,-1.08389992241e-24,0,0
48,0.673414,-0.0661052,0.1,0,0,0
49,0.673414,-0.0661052,0.15,0.00598913204226,0.11149643347,-0.000107528106514
50,0.678496,-0.0663887,0.15,0.00570726494394,0.105888525343,-8.87127250663e-05
51,0.699925,-0.0676033,0.1,0,0,0
52,0.699925,-0.0676033,0.15,0.00406374451929,0.075034973675,-6.37317895298e-05
53,0.716014,-0.0685542,0.1,6.77437431032e-26,0,0
54,0.710651,-0.0682377,0.1,0,0,0
55,0.710651,-0.0682377,0.15,0.00297952765487,0.0561348778031,-2.24440890651e-05
56,0.716014,-0.0685542,0.15,0.0023950816661,0.0460503152298,-9.50506644897e-06
57,0.763795,-0.0713974,0.1,3.38718715516e-26,0,0
58,0.758859,-0.0710778,0.1,5.41949961205e-25,0,0
59,0.758859,-0.0710778,0.15,-0.00267944335196,-0.0394561195884,4.21420598421e-05
60,0.763795,-0.0713974,0.15,-0.00329428711013,-0.048697812956,3.07226062969e-05
61,0.79514,-0.0193544,0.1,1.3873919662e-22,0,0
62,0.802701,-0.0215789,0.1,-6.93695901204e-23,0,0
63,0.802701,-0.0215789,0.15,0.272119534382,0.932874186048,-0.0031387856939
64,0.79514,-0.0193544,0.15,0.272474476679,0.943072839557,-0.00389654163664
65,0.937145,-0.0836625,0.1,0,0,0
66,0.932668,-0.0833009,0.1,-2.70974939654e-25,0,0
67,0.932668,-0.0833009,0.15,-0.00160613846532,-0.0222912853413,2.62255676469e-05
68,0.937145,-0.0836625,0.15,-0.000985932900003,-0.0143507986431,1.10811691304e-05
