nodeId,x,y,z,phi_x,phi_y,phi_z
1,1.00236,-0.0881502,0.1,1.42553446937e-22,0,0
2,1.004,-0.0890014,0.1,0,0,0
3,1.004,-0.0890014,0.15,0.00247777521994,0.0342119487524,0.00245700816295
4,1.00236,-0.0881502,0.15,0.00837198754777,0.0453867190335,0.00176500461931
5,0.952897,-0.084872,0.1,5.568493758e-25,0,0
6,0.94756,-0.0844413,0.1,1.1136987516e-24,0,0
7,0.94756,-0.0844413,0.15,0.015467792783,0.197502630382,-0.00010676635238
8,0.952897,-0.084872,0.15,0.0152832378602,0.194730603998,-9.86385138625e-06
9,0.958249,-0.0852761,0.1,0,0,0
10,0.958249,-0.0852761,0.15,0.0149427974758,0.189686142045,-0.000135850245863
11,0.140065,-0.0412148,0.1,0,0,0
12,0.134709,-0.0407917,0.1,-4.4547950064e-24,0,0
13,0.134709,-0.0407917,0.15,0.00460616336597,0.0685936843312,0.000448882726402
14,0.140065,-0.0412148,0.15,0.0052626670987,0.0792851044953,0.000503215520641
15,0.0440394,0.0389468,0.1,-5.568493758e-25,0,0
16,0.0482783,0.0406844,0.1,0,0,0
17,0.0482783,0.0406844,0.15,-6.76086817557e-05,0.000148038174874,-5.86940697486e-06
18,0.0440394,0.0389468,0.15,-7.28832146622e-05,0.000158999468325,-6.30618751978e-06
19,0.559146,0.0381017,0.1,-4.4547950064e-24,0,0
20,0.563662,0.0372154,0.1,0,0,0
21,0.563662,0.0372154,0.15,-0.173071065923,-0.863655946676,0.00250715573758
22,0.559146,0.0381017,0.15,-0.168058580475,-0.845222333059,0.00235659688848
23,0.129366,-0.0403371,0.1,0,0,0
24,0.129366,-0.0403371,0.15,0.00391495839346,0.0584039166257,0.000367456407817
25,0.735779,-0.0028717,0.1,-2.78424645826e-25,0,0
26,0.743356,-0.00488488,0.1,0,0,0
27,0.743356,-0.00488488,0.15,-0.019216676149,-0.0970906827255,0.00034275018201
28,0.735779,-0.0028717,0.15,-0.0398252306545,-0.176149225268,0.000471012823992
29,0.903463,-0.0531327,0.1,-7.12767150535e-23,0,0
30,0.907856,-0.0545707,0.1,0,0,0
31,0.907856,-0.0545707,0.15,0.239471288238,0.721600744176,-0.00309772728305
32,0.903463,-0.0531327,0.15,0.243782394295,0.737814346863,-0.00224681565657
33,0.995066,-0.0882592,0.1,3.56383617342e-23,0,0
34,0.990347,-0.0878927,0.1,3.56383617342e-23,0,0
35,0.990347,-0.0878927,0.15,0.00822225756334,0.105154231638,0.000953675698522
36,0.995066,-0.0882592,0.15,0.00652469391744,0.0831280408603,0.00126525728722
37,0.055694,0.0434126,0.1,0,0,0
38,0.055694,0.0434126,0.15,-6.017411911e-05,0.000130863678214,-4.57414731113e-06
39,0.00654038,0.0161572,0.1,0,0,0
40,0.0121963,0.0214907,0.1,5.568493758e-25,0,0
41,0.0121963,0.0214907,0.15,-7.5109604064e-05,0.000171105268207,-2.58047870492e-06
42,0.00654038,0.0161572,0.15,-1.7909973104e-05,0.000111929716443,9.62284951736e-06
43,0.694562,-0.0672861,0.1,-5.568493758e-25,0,0
44,0.68919,-0.0669854,0.1,0,0,0
45,0.68919,-0.0669854,0.15,-0.00289125162464,-0.0448812630538,3.49596856612e-05
46,0.694562,-0.0672861,0.15,-0.00395188957371,-0.0635419435155,5.36153087863e-05
47,0.678496,-0.0663887,0.1,0,0,0
48,0.673414,-0.0661052,0.1,6.96061698713e-26,0,0
49,0.673414,-0.0661052,0.15,0.000259242613695,0.0112066962968,-3.25145264763e-06
50,0.678496,-0.0663887,0.15,-0.0007526746702,-0.00688518020451,7.55573003779e-06
51,0.699925,-0.0676033,0.1,0,0,0
52,0.699925,-0.0676033,0.15,-0.00504251306955,-0.0816499858231,3.55897742764e-05
53,0.716014,-0.0685542,0.1,-1.1136987516e-24,0,0
54,0.710651,-0.0682377,0.1,0,0,0
55,0.710651,-0.0682377,0.15,-0.00709883542978,-0.11562073075,1.25599167417e-05
56,0.716014,-0.0685542,0.15,-0.00804424267731,-0.131163247576,7.81744595e-06
57,0.763795,-0.0713974,0.1,0,0,0
58,0.758859,-0.0710778,0.1,0,0,0
59,0.758859,-0.0710778,0.15,-0.0127735113799,-0.204649631685,0.00026396789964
60,0.763795,-0.0713974,0.15,-0.0129353545693,-0.206141672236,0.000179544625202
61,0.79514,-0.0193544,0.1,0,0,0
62,0.802701,-0.0215789,0.1,-7.12767150535e-23,0,0
63,0.802701,-0.0215789,0.15,0.144642943238,0.475455875206,-0.00154891665521
64,0.79514,-0.0193544,0.15,0.124956018924,0.411877327007,-0.00171559502875
65,0.937145,-0.0836625,0.1,4.4547950064e-24,0,0
66,0.932668,-0.0833009,0.1,4.4547950064e-24,0,0
67,0.932668,-0.0833009,0.15,0.015071191558,0.193677567201,7.23661293325e-05
68,0.937145,-0.0836625,0.15,0.0153378082903,0.196676795068,0.00016077803519
69,1.00277,-0.0889025,0.1,-7.12767150535e-23,0,0
70,1.00277,-0.0889025,0.15,0.00308123497988,0.0417054996348,0.00225388246417
71,0.974296,-0.086578,0.1,0,0,0
72,0.968946,-0.0861687,0.1,8.90958832982e-24,0,0
73,0.968946,-0.0861687,0.15,0.0135706604037,0.17242791743,0.000234881397547
74,0.974296,-0.086578,0.15,0.0126429126018,0.159955060931,0.000194099572917
75,0.968182,-0.075624,0.1,-3.56383617342e-23,0,0
76,0.972489,-0.0771835,0.1,1.78191766596e-23,0,0
77,0.972489,-0.0771835,0.15,0.0994814313628,0.294415843505,-0.000664332506783
78,0.968182,-0.075624,0.15,0.112339857193,0.330820421202,-0.000785483237469
79,0.172628,0.0673466,0.1,0,0,0
80,0.177909,0.0678777,0.1,0,0,0
81,0.177909,0.0678777,0.15,0.000286719940251,-0.00212533775575,1.96245953738e-05
82,0.172628,0.0673466,0.15,0.000282970442599,-0.00208519293676,2.02289597322e-05
83,0.183244,0.0683825,0.1,5.568493758e-25,0,0
84,0.183244,0.0683825,0.15,0.000285970175358,-0.00211066053998,1.89826502072e-05
85,0.193923,0.0692791,0.1,-5.568493758e-25,0,0
86,0.199279,0.0696493,0.1,0,0,0
87,0.199279,0.0696493,0.15,0.000258341970189,-0.00162276134447,1.1129363644e-05
88,0.193923,0.0692791,0.15,0.000270874656412,-0.00187089060802,1.56255968349e-05
89,0.34459,0.0688976,0.1,-8.90958832982e-24,0,0
90,0.34994,0.0684888,0.1,8.90958832982e-24,0,0
91,0.34994,0.0684888,0.15,0.000662323540785,0.0281787732659,-0.000153471572106
92,0.34459,0.0688976,0.15,0.000877442027745,0.0304095131554,-0.000176539591075
93,0.328516,0.0699696,0.1,4.4547950064e-24,0,0
94,0.333877,0.0696371,0.1,4.4547950064e-24,0,0
95,0.333877,0.0696371,0.15,0.00106574325053,0.0324798824577,-0.000201061026342
96,0.328516,0.0699696,0.15,0.00106927917879,0.0325049419397,-0.000208422270228
97,0.355291,0.06808,0.1,-8.90958832982e-24,0,0
98,0.355291,0.06808,0.15,0.000358969422659,0.0250204370422,-0.00015174795434
99,0.365913,0.0671155,0.1,-8.90958832982e-24,0,0
100,0.370983,0.0666493,0.1,0,0,0
101,0.370983,0.0666493,0.15,-0.00136917335493,0.00951040161324,-9.17932697882e-06
102,0.365913,0.0671155,0.15,-0.000683055928514,0.0156253191442,-4.99895602089e-05
103,0.161022,-0.0426295,0.1,0,0,0
104,0.156087,-0.0423016,0.1,0,0,0
105,0.156087,-0.0423016,0.15,0.00693341760372,0.112670477424,0.000482722451807
106,0.161022,-0.0426295,0.15,0.00741593549004,0.12286929953,0.000557559338358
107,0.150777,-0.0419382,0.1,2.2273975032e-24,0,0
108,0.150777,-0.0419382,0.15,0.00637501021479,0.101551741761,0.000418641030994
109,0.824016,-0.0279376,0.1,0,0,0
110,0.82847,-0.029303,0.1,-1.78191766596e-23,0,0
111,0.82847,-0.029303,0.15,0.20300932113,0.656480507695,-0.00156538287228
112,0.824016,-0.0279376,0.15,0.194030150242,0.629802930358,-0.00187330651711
113,0.882377,-0.0461785,0.1,0,0,0
114,0.88674,-0.0475906,0.1,0,0,0
115,0.88674,-0.0475906,0.15,0.252781171829,0.776603193747,-0.00300394692593
116,0.882377,-0.0461785,0.15,0.253431388813,0.781888825867,-0.00273710299211
117,0.539045,0.0419681,0.1,0,0,0
118,0.543877,0.0410528,0.1,0,0,0
119,0.543877,0.0410528,0.15,-0.149238808486,-0.771496125163,0.00223039151385
120,0.539045,0.0419681,0.15,-0.14296013759,-0.745691422262,0.00217701767816
121,0.549029,0.0400769,0.1,0,0,0
122,0.549029,0.0400769,0.15,-0.15575208595,-0.797867990283,0.00258326907572
123,0.651887,0.0181129,0.1,1.78191766596e-23,0,0
124,0.656625,0.0170098,0.1,-3.56383617342e-23,0,0
125,0.656625,0.0170098,0.15,-0.196726947691,-0.852631625851,0.00252712422343
126,0.651887,0.0181129,0.15,-0.20096686395,-0.876367448881,0.00236338600537
127,0.113355,-0.0389032,0.1,-1.1136987516e-24,0,0
128,0.108075,-0.0383793,0.1,0,0,0
129,0.108075,-0.0383793,0.15,0.00132503820472,0.023875804388,0.000206445869776
130,0.113355,-0.0389032,0.15,0.00194420684346,0.0313632040007,0.00024385055474
131,0.118683,-0.0393971,0.1,0,0,0
132,0.118683,-0.0393971,0.15,0.00257993257987,0.0397016835372,0.00027153236263
133,0.565452,-0.060686,0.1,0,0,0
134,0.560369,-0.0604416,0.1,0,0,0
135,0.560369,-0.0604416,0.15,0.00887910967168,0.184444351396,-5.42723165697e-07
136,0.565452,-0.060686,0.15,0.00924392793369,0.191750393736,5.04974817454e-06
137,0.608372,-0.0627347,0.1,0,0,0
138,0.603002,-0.0624799,0.1,6.96061698713e-26,0,0
