nodeId,x,y,z,phi_x,phi_y,phi_z
0,1.00236,-0.0881502,0.1,0,1.22464679915e-16,0
1,1.004,-0.0890014,0.1,0,1.22464679915e-16,0
2,1.004,-0.0890014,0.15,0,1.22464679915e-16,0
3,1.00236,-0.0881502,0.15,0,1.22464679915e-16,0
4,0.952897,-0.084872,0.1,0,0.147438967196,0
5,0.94756,-0.0844413,0.1,0,0.164000906119,0
6,0.94756,-0.0844413,0.15,0,0.164000906119,0
7,0.952897,-0.084872,0.15,0,0.147438967196,0
8,0.958249,-0.0852761,0.1,0,0.13078886201,0
9,0.958249,-0.0852761,0.15,0,0.13078886201,0
10,0.140065,-0.0412148,0.1,0,0.425964051558,0
11,0.134709,-0.0407917,0.1,0,0.410680978725,0
12,0.134709,-0.0407917,0.15,0,0.410680978725,0
13,0.140065,-0.0412148,0.15,0,0.425964051558,0
14,0.0440394,0.0389468,0.1,0,0.137912887707,0
15,0.0482783,0.0406844,0.1,0,0.15108991499,0
16,0.0482783,0.0406844,0.15,0,0.15108991499,0
17,0.0440394,0.0389468,0.15,0,0.137912887707,0
18,0.559146,0.0381017,0.1,0,0.982786443946,0
19,0.563662,0.0372154,0.1,0,0.980066563634,0
20,0.563662,0.0372154,0.15,0,0.980066563634,0
21,0.559146,0.0381017,0.15,0,0.982786443946,0
22,0.129366,-0.0403371,0.1,0,0.395319148177,0
23,0.129366,-0.0403371,0.15,0,0.395319148177,0
24,0.735779,-0.0028717,0.1,0,0.737981817715,0
25,0.743356,-0.00488488,0.1,0,0.721710939145,0
26,0.743356,-0.00488488,0.15,0,0.721710939145,0
27,0.735779,-0.0028717,0.15,0,0.737981817715,0
28,0.903463,-0.0531327,0.1,0,0.29865204826,0
29,0.907856,-0.0545707,0.1,0,0.285452858331,0
30,0.907856,-0.0545707,0.15,0,0.285452858331,0
31,0.903463,-0.0531327,0.15,0,0.29865204826,0
32,0.995066,-0.0882592,0.1,0,0.0154999974402,0
33,0.990347,-0.0878927,0.1,0,0.0303211458937,0
34,0.990347,-0.0878927,0.15,0,0.0303211458937,0
35,0.995066,-0.0882592,0.15,0,0.0154999974402,0
36,0.055694,0.0434126,0.1,0,0.174076489623,0
37,0.055694,0.0434126,0.15,0,0.174076489623,0
38,0.00654038,0.0161572,0.1,0,0.0205457639932,0
39,0.0121963,0.0214907,0.1,0,0.0383064319233,0
40,0.0121963,0.0214907,0.15,0,0.0383064319233,0
41,0.00654038,0.0161572,0.15,0,0.0205457639932,0
42,0.694562,-0.0672861,0.1,0,0.81894015996,0
43,0.68919,-0.0669854,0.1,0,0.828508222852,0
44,0.68919,-0.0669854,0.15,0,0.828508222852,0
45,0.694562,-0.0672861,0.15,0,0.81894015996,0
46,0.678496,-0.0663887,0.1,0,0.846850248885,0
47,0.673414,-0.0661052,0.1,0,0.855232953354,0
48,0.673414,-0.0661052,0.15,0,0.855232953354,0
49,0.678496,-0.0663887,0.15,0,0.846850248885,0
50,0.699925,-0.0676033,0.1,0,0.809155465554,0
51,0.699925,-0.0676033,0.15,0,0.809155465554,0
52,0.716014,-0.0685542,0.1,0,0.778434693506,0
53,0.710651,-0.0682377,0.1,0,0.788899857443,0
54,0.710651,-0.0682377,0.15,0,0.788899857443,0
55,0.716014,-0.0685542,0.15,0,0.778434693506,0
56,0.763795,-0.0713974,0.1,0,0.675807646021,0
57,0.758859,-0.0710778,0.1,0,0.687155732202,0
58,0.758859,-0.0710778,0.15,0,0.687155732202,0
59,0.763795,-0.0713974,0.15,0,0.675807646021,0
60,0.79514,-0.0193544,0.1,0,0.600068447581,0
61,0.802701,-0.0215789,0.1,0,0.580899307145,0
62,0.802701,-0.0215789,0.15,0,0.580899307145,0
63,0.79514,-0.0193544,0.15,0,0.600068447581,0
64,0.937145,-0.0836625,0.1,0,0.196184036341,0
65,0.932668,-0.0833009,0.1,0,0.209955765439,0
66,0.932668,-0.0833009,0.15,0,0.209955765439,0
67,0.937145,-0.0836625,0.15,0,0.196184036341,0
68,1.00277,-0.0889025,0.1,0,1.22464679915e-16,0
69,1.00277,-0.0889025,0.15,0,1.22464679915e-16,0
70,0.974296,-0.086578,0.1,0,0.0806637653907,0
71,0.968946,-0.0861687,0.1,0,0.0974043346415,0
72,0.968946,-0.0861687,0.15,0,0.0974043346415,0
73,0.974296,-0.086578,0.15,0,0.0806637653907,0
74,0.968182,-0.075624,0.1,0,0.0997928154704,0
75,0.972489,-0.0771835,0.1,0,0.086320794379,0
76,0.972489,-0.0771835,0.15,0,0.086320794379,0
77,0.968182,-0.075624,0.15,0,0.0997928154704,0
78,0.172628,0.0673466,0.1,0,0.516130363129,0
79,0.177909,0.0678777,0.1,0,0.530268824282,0
80,0.177909,0.0678777,0.15,0,0.530268824282,0
81,0.172628,0.0673466,0.15,0,0.516130363129,0
82,0.183244,0.0683825,0.1,0,0.54440364156,0
83,0.183244,0.0683825,0.15,0,0.54440364156,0
84,0.193923,0.0692791,0.1,0,0.572233760273,0
85,0.199279,0.0696493,0.1,0,0.585951251076,0
86,0.199279,0.0696493,0.15,0,0.585951251076,0
87,0.193923,0.0692791,0.15,0,0.572233760273,0
88,0.34459,0.0688976,0.1,0,0.883162178741,0
89,0.34994,0.0684888,0.1,0,0.890920933167,0
90,0.34994,0.0684888,0.15,0,0.890920933167,0
91,0.34459,0.0688976,0.15,0,0.883162178741,0
92,0.328516,0.0699696,0.1,0,0.858359467388,0
